label,workload,concurrency,max_num_batched_tokens,status,ok_count,fail_count,rps,wall_time_s,p50_s,p90_s,p99_s,mean_s,overall_n,overall_p50,overall_p90,overall_p99,overall_mean,short_n,short_p50,short_p90,short_p99,short_mean,long_n,long_p50,long_p90,long_p99,long_mean
FAIR,mix_50_50.jsonl,32,256,ok,200,0,3.968775299647738,50.3933795439998,8.030763750500228,12.007555014999525,14.162319046050188,7.4579567332950365,200,8.030763750500228,12.007555014999525,14.162319046050188,7.4579567332950365,108,6.835839968000073,10.755014103699978,12.85432591574983,6.408662839324136,92,8.699075250000078,12.771936082899902,14.228444300279799,8.689736521869571
FAIR,mix_50_50.jsonl,32,384,ok,200,0,4.213007099697018,47.472030136000285,7.573981204499887,10.843520666600487,13.198318085390538,7.069820005749989,200,7.573981204499887,10.843520666600487,13.198318085390538,7.069820005749989,108,6.5047029504999045,10.084011915900101,12.070611404249838,6.0970603682592435,92,8.17929936749988,11.920281256499404,13.3243569183198,8.211755232369558
FAIR,mix_50_50.jsonl,32,512,ok,200,0,4.8972437689579325,40.83929847800027,6.548973378000028,9.731766470000002,11.460998481790192,6.127853293369972,200,6.548973378000028,9.731766470000002,11.460998481790192,6.127853293369972,108,5.574813909500335,8.666509064900037,10.385282796829923,5.264652068962918,92,7.076203587500004,10.680523666999582,11.587312362730684,7.141176469847818
FAIR,mix_50_50.jsonl,32,768,ok,200,0,4.9871930574190575,40.10271864300012,6.471648499499679,9.542461169800116,11.187832905670298,6.08958577684005,200,6.471648499499679,9.542461169800116,11.187832905670298,6.08958577684005,108,5.48582856999974,8.449879052700272,10.094231289619511,5.2823232667870395,92,6.945430828000099,10.354276804199982,11.662258728460385,7.037241766902278
FAIR,mix_50_50.jsonl,32,1024,ok,200,0,5.04093996493978,39.67514023000058,6.254756052499943,9.541409500900226,11.505330303700365,6.088857209260014,200,6.254756052499943,9.541409500900226,11.505330303700365,6.088857209260014,108,5.377607188499951,8.483696100900124,10.541172092019897,5.299665349361156,92,6.957519990500259,10.27300887459951,11.583067708209658,7.015299827402151
FAIR,mix_50_50.jsonl,32,1536,ok,200,0,5.232840680378519,38.220158459999766,5.971957596500033,9.31346706940003,11.67861247905998,5.934581857800017,200,5.971957596500033,9.31346706940003,11.67861247905998,5.934581857800017,108,5.323621732999982,8.471956736500214,10.808859351409382,4.949557922675947,92,7.026540439999735,10.495542750200459,12.13559476699009,7.090914303380447
FAIR,mix_50_50.jsonl,32,2048,ok,200,0,5.461869797315566,36.61749683200014,5.305476015500062,9.169328841799869,12.133715116929777,5.715450713799982,200,5.305476015500062,9.169328841799869,12.133715116929777,5.715450713799982,108,4.614039909500207,8.89380066549993,10.684957463210091,4.7794639946110875,92,6.437847692000105,10.19399564639971,12.4654999289204,6.814217731978251
FAIR,mix_50_50.jsonl,32,3072,ok,200,0,5.480284754934955,36.49445401899993,5.126560704499752,11.26238316880008,13.085056490590095,5.641195483290044,200,5.126560704499752,11.26238316880008,13.085056490590095,5.641195483290044,108,3.9405382330000975,8.337370453200027,12.466925866960263,4.674823079175936,92,5.975895469500301,12.025076516199988,13.201842137410514,6.7756326533370395
FAIR,mix_50_50.jsonl,32,4096,ok,200,0,5.35688651022631,37.33511987200018,5.362229436500002,11.690847262400164,14.13552755423986,5.80102706215504,200,5.362229436500002,11.690847262400164,14.13552755423986,5.80102706215504,108,3.8783990360002463,8.924415806000333,12.651472195389793,4.68906227123157,92,6.5258613210003205,13.001420464000422,14.277313405109819,7.106377034108678
FAIR,mix_50_50.jsonl,32,6144,ok,200,0,5.252919979270631,38.07406181500028,6.087259092000295,10.5978331067,12.716592761639994,6.037265623924964,200,6.087259092000295,10.5978331067,12.716592761639994,6.037265623924964,108,3.9414923864997036,9.234577002399691,10.07481205139009,4.615927923518467,92,6.4976186654998855,10.800588240300112,12.740195817840723,7.705792489619546
FAIR,mix_50_50.jsonl,32,8192,ok,200,0,5.243339697770321,38.14362820800034,5.762485712999478,10.906064489899927,11.832808100039655,6.0511870056450014,200,5.762485712999478,10.906064489899927,11.832808100039655,6.0511870056450014,108,4.70952861249998,8.167315065099775,10.168693158300083,4.584385783138857,92,6.440498012500029,11.189300341199942,13.953629400120617,7.773084092934823
